data,data,kaina,prognoze,veiksmas,btc_kiekis,kapitalas_usd,portfelio_verte,graza_proc,dienos_graza,verte_proc
2024-08-22,2024-08-22,60375.84,1.0,laukti,0.0,10000.0,10000.0,0.0,,0.0
2024-08-23,2024-08-23,64037.24,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-24,2024-08-24,64157.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-25,2024-08-25,64220.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-26,2024-08-26,62834.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-27,2024-08-27,59415.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-28,2024-08-28,59034.9,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-29,2024-08-29,59359.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-30,2024-08-30,59123.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-08-31,2024-08-31,58973.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-01,2024-09-01,57301.86,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-02,2024-09-02,59132.13,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-03,2024-09-03,57487.73,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-04,2024-09-04,57970.9,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-05,2024-09-05,56180.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-06,2024-09-06,53962.97,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-07,2024-09-07,54160.86,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-08,2024-09-08,54869.95,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-09,2024-09-09,57042.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-10,2024-09-10,57635.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-11,2024-09-11,57338.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-12,2024-09-12,58132.32,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-13,2024-09-13,60498.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-14,2024-09-14,59993.03,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-15,2024-09-15,59132.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-16,2024-09-16,58213.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-17,2024-09-17,60313.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-18,2024-09-18,61759.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-19,2024-09-19,62947.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-20,2024-09-20,63201.05,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-21,2024-09-21,63348.96,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-22,2024-09-22,63578.76,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-23,2024-09-23,63339.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-24,2024-09-24,64262.7,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-25,2024-09-25,63152.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-26,2024-09-26,65173.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-27,2024-09-27,65769.95,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-28,2024-09-28,65858.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-29,2024-09-29,65602.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-09-30,2024-09-30,63327.59,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-01,2024-10-01,60805.78,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-02,2024-10-02,60649.28,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-03,2024-10-03,60752.71,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-04,2024-10-04,62086.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-05,2024-10-05,62058.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-06,2024-10-06,62819.91,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-07,2024-10-07,62224.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-08,2024-10-08,62160.49,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-09,2024-10-09,60636.02,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-10,2024-10-10,60326.39,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-11,2024-10-11,62540.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-12,2024-10-12,63206.22,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-13,2024-10-13,62870.02,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-14,2024-10-14,66083.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-15,2024-10-15,67074.14,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-16,2024-10-16,67620.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-17,2024-10-17,67421.78,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-18,2024-10-18,68428.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-19,2024-10-19,68378.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-20,2024-10-20,69031.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-21,2024-10-21,67377.5,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-22,2024-10-22,67426.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-23,2024-10-23,66668.65,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-24,2024-10-24,68198.28,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-25,2024-10-25,66698.33,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-26,2024-10-26,67092.76,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-27,2024-10-27,68021.7,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-28,2024-10-28,69962.21,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-29,2024-10-29,72736.42,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-30,2024-10-30,72344.74,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-10-31,2024-10-31,70292.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-01,2024-11-01,69496.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-02,2024-11-02,69374.74,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-03,2024-11-03,68775.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-04,2024-11-04,67850.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-05,2024-11-05,69372.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-06,2024-11-06,75571.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-07,2024-11-07,75857.89,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-08,2024-11-08,76509.78,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-09,2024-11-09,76677.46,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-10,2024-11-10,80370.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-11,2024-11-11,88647.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-12,2024-11-12,87952.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-13,2024-11-13,90375.2,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-14,2024-11-14,87325.59,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-15,2024-11-15,91032.07,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-16,2024-11-16,90586.92,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-17,2024-11-17,89855.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-18,2024-11-18,90464.08,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-19,2024-11-19,92310.79,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-20,2024-11-20,94286.56,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-21,2024-11-21,98317.12,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-22,2024-11-22,98892.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-23,2024-11-23,97672.4,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-24,2024-11-24,97900.04,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-25,2024-11-25,93010.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-26,2024-11-26,91965.16,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-27,2024-11-27,95863.11,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-28,2024-11-28,95643.98,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-29,2024-11-29,97460.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-11-30,2024-11-30,96407.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-01,2024-12-01,97185.18,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-02,2024-12-02,95840.62,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-03,2024-12-03,95849.69,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-04,2024-12-04,98587.32,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-05,2024-12-05,96945.63,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-06,2024-12-06,99740.84,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-07,2024-12-07,99831.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-08,2024-12-08,101109.59,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-09,2024-12-09,97276.47,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-10,2024-12-10,96593.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-11,2024-12-11,101125.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-12,2024-12-12,100004.29,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-13,2024-12-13,101424.25,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-14,2024-12-14,101420.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-15,2024-12-15,104463.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-16,2024-12-16,106058.66,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-17,2024-12-17,106133.74,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-18,2024-12-18,100204.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-19,2024-12-19,97461.86,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-20,2024-12-20,97805.44,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-21,2024-12-21,97291.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-22,2024-12-22,95186.27,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-23,2024-12-23,94881.47,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-24,2024-12-24,98663.58,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-25,2024-12-25,99429.6,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-26,2024-12-26,95791.6,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-27,2024-12-27,94299.03,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-28,2024-12-28,95300.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-29,2024-12-29,93738.2,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-30,2024-12-30,92792.05,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2024-12-31,2024-12-31,93576.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-01,2025-01-01,94591.79,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-02,2025-01-02,96984.79,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-03,2025-01-03,98174.18,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-04,2025-01-04,98220.5,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-05,2025-01-05,98363.61,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-06,2025-01-06,102235.6,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-07,2025-01-07,96954.61,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-08,2025-01-08,95060.61,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-09,2025-01-09,92552.49,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-10,2025-01-10,94726.11,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-11,2025-01-11,94599.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-12,2025-01-12,94545.06,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-13,2025-01-13,94536.1,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-14,2025-01-14,96560.86,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-15,2025-01-15,100497.35,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-16,2025-01-16,99987.3,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-17,2025-01-17,104077.48,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-18,2025-01-18,104556.23,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-19,2025-01-19,101331.57,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-20,2025-01-20,102260.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-21,2025-01-21,106143.82,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-22,2025-01-22,103706.66,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-23,2025-01-23,103910.34,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-24,2025-01-24,104870.5,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-25,2025-01-25,104746.85,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-26,2025-01-26,102620.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-27,2025-01-27,102082.83,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-28,2025-01-28,101335.52,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-29,2025-01-29,103733.24,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-30,2025-01-30,104722.94,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-01-31,2025-01-31,102429.56,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-01,2025-02-01,100635.65,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-02,2025-02-02,97700.59,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-03,2025-02-03,101328.52,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-04,2025-02-04,97763.13,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-05,2025-02-05,96612.43,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-06,2025-02-06,96554.35,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-07,2025-02-07,96506.8,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-08,2025-02-08,96444.74,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-09,2025-02-09,96462.75,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-10,2025-02-10,97430.82,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-11,2025-02-11,95778.2,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-12,2025-02-12,97869.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-13,2025-02-13,96608.14,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-14,2025-02-14,97500.48,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-15,2025-02-15,97569.66,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-16,2025-02-16,96118.12,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-17,2025-02-17,95780.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-18,2025-02-18,95671.74,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-19,2025-02-19,96644.37,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-20,2025-02-20,98305.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-21,2025-02-21,96181.98,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-22,2025-02-22,96551.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-23,2025-02-23,96258.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-24,2025-02-24,91552.88,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-25,2025-02-25,88680.4,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-26,2025-02-26,84250.09,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-27,2025-02-27,84708.58,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-02-28,2025-02-28,84349.94,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-01,2025-03-01,86064.53,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-02,2025-03-02,94270.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-03,2025-03-03,86220.61,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-04,2025-03-04,87281.98,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-05,2025-03-05,90606.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-06,2025-03-06,89931.89,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-07,2025-03-07,86801.75,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-08,2025-03-08,86222.45,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-09,2025-03-09,80734.37,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-10,2025-03-10,78595.86,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-11,2025-03-11,82932.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-12,2025-03-12,83680.12,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-13,2025-03-13,81115.78,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-14,2025-03-14,83983.2,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-15,2025-03-15,84338.44,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-16,2025-03-16,82574.53,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-17,2025-03-17,84010.03,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-18,2025-03-18,82715.03,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-19,2025-03-19,86845.94,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-20,2025-03-20,84223.39,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-21,2025-03-21,84088.79,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-22,2025-03-22,83840.59,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-23,2025-03-23,86082.5,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-24,2025-03-24,87498.16,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-25,2025-03-25,87392.87,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-26,2025-03-26,86909.17,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-27,2025-03-27,87232.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-28,2025-03-28,84424.38,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-29,2025-03-29,82648.54,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-30,2025-03-30,82389.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-03-31,2025-03-31,82550.01,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-01,2025-04-01,85158.34,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-02,2025-04-02,82516.29,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-03,2025-04-03,83213.09,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-04,2025-04-04,83889.87,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-05,2025-04-05,83537.99,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-06,2025-04-06,78430.0,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
2025-04-07,2025-04-07,79163.24,1.0,laukti,0.0,10000.0,10000.0,0.0,0.0,0.0
