Ypatybė,Svarba
SMA_50,0.09398663
RSI_14,0.07470715
pokytis_14d,0.06343813
SMA_30,0.06234444
pokytis_7d,0.061230887
RSI_7,0.055642895
SMA_7,0.054314274
MACD_diff,0.054183148
pokytis_3d,0.05342245
santykis_SMA30,0.052051097
svyravimas_30d,0.0485785
santykis_SMA7,0.047633022
MACD_signal,0.04655911
svyravimas_7d,0.0443716
MACD,0.043931156
kaina,0.04337193
pokytis_1d,0.038178105
EMA_12,0.031111123
EMA_26,0.030944252
